uid,trace
2050,-4.611784 34.44567 0.0;-4.611144 34.44573 0.0;-4.611161 34.44633 0.0;-4.611245 34.44737 0.0;-4.611834 34.44738 0.0;-4.611817 34.44618 0.0;-4.611788 34.44568 0.0;-4.611784 34.44567 0.0;-4.611784 34.44567 0.0;
2051,-4.613898 34.49848 0.0;-4.613885 34.49849 0.0;-4.613881 34.4985 0.0;-4.613517 34.49844 0.0;-4.613551 34.49817 0.0;-4.613545 34.49816 0.0;-4.613498 34.49786 0.0;-4.613573 34.49778 0.0;-4.614148 34.49774 0.0;-4.614259 34.49784 0.0;-4.614159 34.49834 0.0;-4.614087 34.49834 0.0;-4.614067 34.49848 0.0;-4.613975 34.4985 0.0;-4.613898 34.49848 0.0;-4.613898 34.49848 0.0;
2052,-4.601781 34.51386 0.0;-4.601896 34.51421 0.0;-4.602038 34.51417 0.0;-4.602041 34.51414 0.0;-4.602064 34.51411 0.0;-4.602061 34.5141 0.0;-4.602092 34.51406 0.0;-4.602092 34.51402 0.0;-4.602108 34.51392 0.0;-4.602006 34.51382 0.0;-4.601945 34.51383 0.0;-4.601843 34.51386 0.0;-4.601781 34.51386 0.0;-4.601781 34.51386 0.0;
2053,-4.686482 34.51784 0.0;-4.686269 34.51832 0.0;-4.685698 34.51818 0.0;-4.685828 34.5177 0.0;-4.686397 34.51783 0.0;-4.686482 34.51784 0.0;
2054,-4.634965 34.63253 0.0;-4.634963 34.63298 0.0;-4.634644 34.63301 0.0;-4.634552 34.63258 0.0;-4.634588 34.63258 0.0;-4.63462 34.63249 0.0;-4.634965 34.63253 0.0;-4.634965 34.63253 0.0;-4.634965 34.63253 0.0;
2055,-4.655016 34.57519 0.0;-4.655049 34.57511 0.0;-4.655004 34.57498 0.0;-4.654957 34.57496 0.0;-4.654964 34.5751 0.0;-4.654941 34.5752 0.0;-4.655016 34.57519 0.0;-4.655016 34.57519 0.0;
2056,-4.69361 34.63299 0.0;-4.693167 34.63318 0.0;-4.692899 34.63261 0.0;-4.692888 34.63261 0.0;-4.692904 34.63247 0.0;-4.69295 34.63244 0.0;-4.692952 34.63237 0.0;-4.693175 34.63225 0.0;-4.693296 34.6324 0.0;-4.69361 34.63299 0.0;
2057,-4.778155 34.61052 0.0;-4.778304 34.61069 0.0;-4.778045 34.61097 0.0;-4.777826 34.61101 0.0;-4.777307 34.61131 0.0;-4.777229 34.61128 0.0;-4.776993 34.61142 0.0;-4.776908 34.61134 0.0;-4.777842 34.61072 0.0;-4.778137 34.61054 0.0;-4.778155 34.61052 0.0;
2058,-4.744246 34.53867 0.0;-4.74391 34.53881 0.0;-4.743603 34.53815 0.0;-4.744056 34.53796 0.0;-4.744104 34.5384 0.0;-4.744255 34.53866 0.0;-4.744246 34.53867 0.0;
2059,-4.888369 34.52485 0.0;-4.888429 34.52486 0.0;-4.888488 34.52498 0.0;-4.888547 34.52532 0.0;-4.888674 34.52537 0.0;-4.888689 34.52552 0.0;-4.888708 34.52554 0.0;-4.888821 34.52605 0.0;-4.888799 34.52611 0.0;-4.88877 34.52634 0.0;-4.888608 34.52639 0.0;-4.888564 34.52637 0.0;-4.888601 34.52633 0.0;-4.888133 34.52568 0.0;-4.888158 34.52566 0.0;-4.888225 34.52574 0.0;-4.888234 34.5255 0.0;-4.888162 34.52525 0.0;-4.888249 34.52519 0.0;-4.888253 34.52518 0.0;-4.888274 34.52482 0.0;-4.888369 34.52485 0.0;-4.888369 34.52485 0.0;
